                                                                       07 Mar 2017 13:35:19
Place-INPE-CRN-To-Satellite-Scd2


Start Time (DD/MM/YYYY)     Stop Time (DD/MM/YYYY)    Duration (sec)    Max Elevation (deg)
07/03/2017 04:57:23.000          335.224              1.417    3019.406391
07/03/2017 04:57:24.000          335.317              1.460    3014.917283
07/03/2017 04:57:25.000          335.410              1.503    3010.434524
07/03/2017 04:57:26.000          335.504              1.545    3005.958151
07/03/2017 04:57:27.000          335.597              1.588    3001.488193
07/03/2017 04:57:28.000          335.691              1.631    2997.024686
07/03/2017 04:57:29.000          335.786              1.674    2992.567662
07/03/2017 04:57:30.000          335.880              1.717    2988.117156
07/03/2017 04:57:31.000          335.975              1.760    2983.673198
07/03/2017 04:57:32.000          336.070              1.802    2979.235827
07/03/2017 04:57:33.000          336.166              1.845    2974.805072
07/03/2017 04:57:34.000          336.262              1.888    2970.380972
07/03/2017 04:57:35.000          336.358              1.931    2965.963557
07/03/2017 04:57:36.000          336.454              1.974    2961.552864
07/03/2017 04:57:37.000          336.551              2.017    2957.148925
07/03/2017 04:57:38.000          336.647              2.060    2952.751778
07/03/2017 04:57:39.000          336.745              2.103    2948.361454
07/03/2017 04:57:40.000          336.842              2.145    2943.977992
07/03/2017 04:57:41.000          336.940              2.188    2939.601426
07/03/2017 04:57:42.000          337.038              2.231    2935.231788
07/03/2017 04:57:43.000          337.136              2.274    2930.869117
07/03/2017 04:57:44.000          337.235              2.317    2926.513447
07/03/2017 04:57:45.000          337.334              2.360    2922.164815
07/03/2017 04:57:46.000          337.433              2.403    2917.823254
07/03/2017 04:57:47.000          337.532              2.446    2913.488804
07/03/2017 04:57:48.000          337.632              2.489    2909.161498
07/03/2017 04:57:49.000          337.732              2.532    2904.841374
07/03/2017 04:57:50.000          337.833              2.575    2900.528467
07/03/2017 04:57:51.000          337.934              2.617    2896.222816
07/03/2017 04:57:52.000          338.035              2.660    2891.924457
07/03/2017 04:57:53.000          338.136              2.703    2887.633424
07/03/2017 04:57:54.000          338.238              2.746    2883.349758
07/03/2017 04:57:55.000          338.339              2.789    2879.073492
07/03/2017 04:57:56.000          338.442              2.832    2874.804669
07/03/2017 04:57:57.000          338.544              2.875    2870.543321
07/03/2017 04:57:58.000          338.647              2.918    2866.289489
